Date & Time,Temp(?C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
43056.21,17.62,21.78,29.69,1499.38
43056.25,17.36,21.26,28.88,1497.94
43056.29,17.06,21.07,28.45,1496.78
43056.33,16.39,20.69,27.56,1494.24
43056.37,16.61,19.98,26.83,1494.09
43056.42,17.03,19.93,27.02,1495.36
43056.46,17.62,20.16,27.67,1497.49
43056.5,18.46,21.09,29.37,1501.12
43056.54,18.64,21.61,30.14,1502.24
43056.58,18.78,22.03,30.78,1503.17
43056.62,18.87,22.24,31.1,1503.68
43056.67,18.99,22.18,31.1,1503.96
43056.71,20.26,20.94,30.34,1506.26
43056.75,19.46,21.17,30.12,1504.2
43056.79,19.79,21,30.12,1504.96
43056.83,19.26,20.86,29.59,1503.24
43056.87,19.08,20.65,29.21,1502.48
43056.92,18.78,20.4,28.7,1501.31
43056.96,18.81,20.33,28.63,1501.31
43057,18.9,20.4,28.77,1501.66
43057.04,19.05,20.61,29.14,1502.34
43057.08,18.99,20.7,29.21,1502.27
43057.12,18.96,20.71,29.21,1502.19
43057.17,18.9,20.63,29.07,1501.92
43057.21,18.31,20.03,27.94,1499.45
43057.25,18.19,19.66,27.39,1498.66
43057.29,17.98,19.4,26.94,1497.72
43057.33,17.53,19.21,26.44,1496.12
43057.37,17.3,19.08,26.13,1495.22
43057.42,17.39,19.04,26.13,1495.45
43057.46,17.89,19.19,26.62,1497.2
43057.5,19.08,20.03,28.41,1501.77
43057.54,19.52,20.66,29.5,1503.8
43057.58,19.55,21.18,30.2,1504.48
43057.62,19.61,21.46,30.6,1504.97
43057.67,19.67,21.68,30.92,1505.39
43057.71,19.91,21.81,31.25,1506.22
43057.75,20.17,21.8,31.41,1506.97
43057.79,20.08,21.85,31.41,1506.77
43057.83,19.94,21.6,31,1506.07
43057.87,19.76,21.63,30.92,1505.59
43057.92,19.73,21.65,30.92,1505.53
43057.96,19.85,21.65,31,1505.87
43058,19.85,21.71,31.08,1505.94
43058.04,19.82,21.86,31.25,1506.02
43058.08,19.79,22,31.42,1506.1
43058.12,19.79,22.13,31.59,1506.25
43058.17,19.79,22.2,31.67,1506.32
43058.21,19.73,22.23,31.67,1506.19
43058.25,19.7,22.25,31.67,1506.12
43058.29,19.64,22.15,31.5,1505.83
43058.33,19.55,21.94,31.17,1505.33
43058.37,19.52,21.63,30.76,1504.9
43058.42,19.4,21.2,30.12,1504.06
43058.46,19.58,21.23,30.28,1504.62
43058.5,19.73,21.28,30.43,1505.1
43058.54,19.91,21.25,30.51,1505.58
43058.58,20.17,21.17,30.59,1506.26
43058.62,20.32,21.16,30.66,1506.67
43058.67,20.61,21.19,30.9,1507.55
43058.71,20.64,21.11,30.82,1507.54
43058.75,20.82,21.09,30.9,1508.01
43058.79,20.82,20.78,30.49,1507.67
43058.83,20.35,20.25,29.49,1505.73
43058.87,19.96,19.5,28.25,1503.76
43058.92,19.7,19.1,27.57,1502.53
43058.96,19.52,19.13,27.5,1502.05
43059,19.2,18.92,27.05,1500.85
43059.04,19.11,18.52,26.47,1500.13
43059.08,18.72,18.04,25.63,1498.42
43059.12,18.46,17.46,24.72,1496.93
43059.17,18.61,17.31,24.61,1497.21
43059.21,18.28,17.36,24.51,1496.28
43059.25,17.8,17.36,24.25,1494.81
43059.29,16.61,17.16,23.35,1490.79
43059.33,15.24,16.84,22.25,1485.96
43059.37,15.12,16.44,21.7,1485.08
43059.42,15.33,16.11,21.41,1485.4
43059.46,16.82,16.43,22.55,1490.61
43059.5,16.76,16.67,22.82,1490.7
43059.54,16.97,17.16,23.54,1491.94
43059.58,17.8,17.53,24.46,1495
43059.62,18.13,17.68,24.84,1496.19
43059.67,18.13,17.6,24.73,1496.09
43059.71,18.28,17.53,24.73,1496.48
43059.75,18.75,17.63,25.11,1498.03
43059.79,18.78,17.7,25.22,1498.21
43059.83,18.81,17.78,25.34,1498.38
43059.87,18.58,17.84,25.28,1497.73
43059.92,18.43,17.95,25.34,1497.41
43059.96,18.25,17.98,25.29,1496.9
43060,18.25,18.03,25.35,1496.96
43060.04,17.95,18.07,25.24,1496.09
43060.08,18.07,18.2,25.46,1496.6
43060.12,18.07,18.38,25.7,1496.82
43060.17,18.1,18.51,25.88,1497.06
43060.21,18.1,18.65,26.06,1497.22
43060.25,17.71,18.74,25.94,1496.12
43060.29,17.59,18.7,25.83,1495.71
43060.33,17.42,18.6,25.59,1495.03
43060.37,17.33,18.45,25.36,1494.58
43060.42,17.36,18.39,25.3,1494.6
43060.46,17.74,18.4,25.53,1495.82
43060.5,17.5,18.41,25.42,1495.1
43060.54,17.77,18.38,25.53,1495.9
43060.58,17.98,18.47,25.76,1496.64
43060.62,18.01,18.74,26.12,1497.05
43060.67,18.04,19.02,26.49,1497.46
43060.71,18.13,19.28,26.87,1498.03
43060.75,18.16,19.47,27.13,1498.34
43060.79,18.22,19.7,27.46,1498.79
43060.83,18.22,19.86,27.66,1498.98
43060.87,18.28,19.88,27.73,1499.19
43060.92,18.25,19.85,27.66,1499.05
43060.96,18.31,19.76,27.59,1499.14
43061,18.31,19.76,27.59,1499.14
43061.04,18.19,19.72,27.46,1498.72
43061.08,18.22,19.86,27.66,1498.98
43061.12,18.22,20.08,27.94,1499.23
43061.17,18.22,20.3,28.22,1499.48
43061.21,18.22,20.52,28.5,1499.74
43061.25,18.19,20.65,28.64,1499.8
43061.29,18.07,20.71,28.65,1499.5
43061.33,17.95,20.72,28.58,1499.15
43061.37,18.04,20.61,28.5,1499.3
43061.42,18.16,20.49,28.43,1499.53
43061.46,18.49,20.44,28.57,1500.46
43061.5,18.4,20.21,28.21,1499.92
43061.54,18.75,20.14,28.35,1500.91
43061.58,19.11,20.02,28.41,1501.84
43061.62,19.32,19.97,28.48,1502.4
43061.67,19.64,20.2,28.98,1503.62
43061.71,19.64,20.43,29.28,1503.88
43061.75,19.67,20.65,29.58,1504.21
43061.79,19.91,20.7,29.8,1504.96
43061.83,20.08,20.61,29.8,1505.37
43061.87,20.35,20.54,29.87,1506.05
43061.92,20.2,20.32,29.49,1505.39
43061.96,20.26,20.12,29.26,1505.33
43062,20.05,20.06,29.04,1504.65
43062.04,19.91,20.01,28.9,1504.18
43062.08,19.7,20.12,28.9,1503.69
43062.12,19.55,20.36,29.13,1503.54
43062.17,19.46,20.63,29.43,1503.59
43062.21,19.49,20.91,29.81,1504
43062.25,19.43,21.06,29.97,1503.99
43062.29,19.29,21.14,29.97,1503.65
43062.33,19.11,21.11,29.82,1503.09
43062.37,19.02,20.92,29.51,1502.61
43062.42,19.02,20.51,28.99,1502.14
43062.46,18.99,20.19,28.56,1501.68
43062.5,18.96,19.93,28.2,1501.29
43062.54,19.17,19.5,27.78,1501.43
43062.58,19.17,19.14,27.31,1501.01
43062.62,19.2,18.97,27.11,1500.91
43062.67,19.29,18.93,27.11,1501.13
43062.71,19.29,18.78,26.92,1500.95
43062.75,19.29,18.69,26.79,1500.84
43062.79,19.26,18.55,26.6,1500.6
43062.83,19.2,18.48,26.47,1500.35
43062.87,19.05,18.41,26.29,1499.82
43062.92,18.84,18.27,25.99,1499.03
43062.96,18.78,18.2,25.87,1498.78
43063,18.72,18.09,25.69,1498.47
43063.04,18.72,18,25.57,1498.37
43063.08,18.64,17.81,25.28,1497.88
43063.12,18.55,17.59,24.94,1497.36
43063.17,18.43,17.38,24.61,1496.76
43063.21,18.43,17.09,24.24,1496.42
43063.25,18.25,16.85,23.83,1495.59
43063.29,18.19,16.64,23.52,1495.17
43063.33,17.89,16.53,23.23,1494.13
43063.37,17.71,16.53,23.14,1493.57
43063.42,17.65,16.45,23,1493.28
43063.46,17.74,16.37,22.95,1493.47
43063.5,18.52,16.17,23.08,1495.63
43063.54,18.69,15.95,22.89,1495.93
43063.58,18.99,15.91,22.98,1496.78
43063.62,19.29,15.86,23.07,1497.62
43063.67,19.67,15.86,23.26,1498.76
43063.71,19.7,15.92,23.35,1498.92
43063.75,19.88,15.93,23.45,1499.45
43063.79,19.67,15.93,23.35,1498.84
43063.83,19.61,15.99,23.4,1498.74
43063.87,19.49,16.07,23.46,1498.48
43063.92,19.4,16.11,23.46,1498.25
43063.96,19.38,16.12,23.46,1498.18
43064,19.32,16.11,23.41,1497.99
43064.04,18.99,16.16,23.32,1497.07
43064.08,18.84,16.04,23.08,1496.48
43064.12,18.81,15.94,22.93,1496.28
43064.17,18.55,15.87,22.71,1495.38
43064.21,18.4,15.89,22.66,1494.95
43064.25,18.31,16.07,22.85,1494.88
43064.29,18.31,16.18,22.99,1495.01
43064.33,18.31,16.25,23.08,1495.09
43064.37,17.8,16.17,22.72,1493.42
43064.42,17.65,16.05,22.49,1492.82
43064.46,18.1,15.9,22.53,1494.05
43064.5,18.61,15.81,22.66,1495.49
43064.54,18.93,15.72,22.7,1496.38
43064.58,19.17,15.84,22.98,1497.23
43064.62,19.64,16.02,23.45,1498.85
43064.67,20.17,16.15,23.9,1500.57
43064.71,20.11,16.44,24.26,1500.73
43064.75,20.14,17,25.03,1501.44
43064.79,20.11,17.44,25.61,1501.86
43064.83,20.14,17.83,26.15,1502.39
43064.87,20.11,18.12,26.52,1502.63
43064.92,20.08,18.37,26.84,1502.83
43064.96,19.79,18.22,26.46,1501.79
43065,19.52,17.78,25.73,1500.51
43065.04,19.61,17.56,25.5,1500.53
43065.08,19.73,17.34,25.26,1500.62
43065.12,19.85,17.29,25.26,1500.91
43065.17,19.76,17.2,25.09,1500.55
43065.21,19.64,17.12,24.93,1500.11
43065.25,19.76,17.16,25.04,1500.5
43065.29,19.64,17.25,25.09,1500.25
43065.33,19.7,17.31,25.21,1500.5
43065.37,19.67,17.45,25.38,1500.57
43065.42,18.93,17.34,24.83,1498.24
43065.46,18.99,17.02,24.44,1498.05
43065.5,19.26,16.75,24.23,1498.54
43065.54,19.76,16.58,24.27,1499.85
43065.58,20.02,16.4,24.16,1500.42
43065.62,20.55,16.35,24.36,1501.91
43065.67,20.73,16.35,24.47,1502.43
43065.71,20.99,16.49,24.79,1503.34
43065.75,20.96,16.58,24.9,1503.36
43065.79,20.9,16.69,25.02,1503.31
43065.83,20.85,16.71,25.02,1503.17
43065.87,20.61,16.76,24.97,1502.55
43065.92,20.82,16.76,25.07,1503.14
43065.96,20.55,16.87,25.08,1502.5
43066,20.44,16.96,25.14,1502.26
43066.04,20.02,16.96,24.92,1501.06
43066.08,19.55,16.87,24.54,1499.56
43066.12,19.55,16.75,24.38,1499.42
43066.17,19.67,16.7,24.38,1499.72
43066.21,19.29,16.66,24.12,1498.52
43066.25,19.14,16.64,24.02,1498.06
43066.29,18.87,16.67,23.92,1497.29
43066.33,19.17,16.82,24.28,1498.36
43066.37,18.58,17.15,24.4,1496.95
43066.42,18.49,17.32,24.56,1496.86
43066.46,18.37,17.45,24.67,1496.66
43066.5,18.46,17.37,24.61,1496.83
43066.54,18.9,17.26,24.72,1498.06
43066.58,20.05,17.25,25.32,1501.47
43066.62,20.49,17.28,25.6,1502.79
43066.67,20.49,17.11,25.37,1502.59
43066.71,20.29,17.15,25.31,1502.04
43066.75,20.67,17.43,25.89,1503.46
43066.79,20.61,17.86,26.45,1503.78
43066.83,20.38,18.34,26.96,1503.65
43066.87,20.32,18.76,27.49,1503.96
43066.92,20.32,19.02,27.83,1504.24
43066.96,20.26,19.25,28.11,1504.34
43067,20.17,19.4,28.25,1504.25
43067.04,20.02,19.41,28.18,1503.84
43067.08,19.35,19.21,27.51,1501.62
43067.12,18.99,18.92,26.92,1500.23
43067.17,18.72,18.7,26.48,1499.17
43067.21,19.14,18.61,26.6,1500.31
43067.25,18.96,18.45,26.29,1499.6
43067.29,19.08,18.39,26.29,1499.89
43067.33,18.84,18.6,26.42,1499.41
43067.37,18.93,19.25,27.31,1500.43
43067.42,18.78,19.9,28.06,1500.73
43067.46,18.69,20.45,28.71,1501.09
43067.5,18.87,20.88,29.37,1502.12
43067.54,19.2,21.19,29.97,1503.44
43067.58,20.44,21.28,30.9,1507.15
43067.62,20.58,21.02,30.66,1507.27
43067.67,20.67,20.74,30.34,1507.2
43067.71,19.94,20.69,29.8,1505.03
43067.75,20.58,20.48,29.94,1506.66
43067.79,20.49,20.29,29.64,1506.2
43067.83,20.05,20.22,29.27,1504.85
43067.87,19.76,20.43,29.35,1504.22
43067.92,19.61,20.85,29.81,1504.27
43067.96,19.64,21.14,30.2,1504.68
43068,19.64,21.45,30.6,1505.03
43068.04,19.67,21.62,30.84,1505.32
43068.08,19.73,21.78,31.08,1505.67
43068.12,19.76,21.89,31.25,1505.88
43068.17,20.14,21.56,31.08,1506.62
43068.21,20.14,21,30.35,1505.98
43068.25,19.82,20.93,30.04,1504.96
43068.29,19.85,20.62,29.65,1504.69
43068.33,19.79,20.41,29.35,1504.29
43068.37,19.61,20.39,29.2,1503.74
43068.42,19.52,20.6,29.43,1503.73
43068.46,19.58,20.87,29.81,1504.2
43068.5,19.67,21.18,30.28,1504.82
43068.54,19.79,21.43,30.67,1505.45
43068.58,20.14,21.56,31.08,1506.62
43068.62,21.29,21.8,32.16,1510.13
43068.67,22.07,21.78,32.67,1512.29
43068.71,22.37,21.44,32.4,1512.7
43068.75,21.17,21.28,31.39,1509.22
43068.79,21.26,21.24,31.39,1509.42
43068.83,21.23,21.13,31.22,1509.21
43068.87,20.93,21.09,30.98,1508.35
43068.92,20.49,21.25,30.9,1507.28
43068.96,20.41,21.55,31.24,1507.36
43069,20.35,21.77,31.49,1507.45
43069.04,20.41,22,31.83,1507.87
43069.08,20.38,22.15,32,1507.95
43069.12,20.35,22.03,31.83,1507.74
43069.17,20.11,21.83,31.41,1506.84
43069.21,19.73,21.59,30.84,1505.45
43069.25,19.23,21.42,30.29,1503.79
43069.29,19.82,21.17,30.35,1505.24
43069.33,19.85,20.97,30.11,1505.1
43069.37,19.82,20.81,29.88,1504.82
43069.42,19.7,20.93,29.96,1504.62
43069.46,19.76,21.14,30.27,1505.03
43069.5,19.94,21.42,30.75,1505.86
43069.54,20.05,21.73,31.24,1506.56
43069.58,20.2,21.91,31.58,1507.19
43069.62,21.02,22.2,32.51,1509.84
43069.67,21.55,22.12,32.77,1511.22
43069.71,21.84,22.04,32.85,1511.93
43069.75,21.9,21.94,32.76,1511.99
43069.79,21.61,21.7,32.24,1510.91
43069.83,21.14,21.55,31.73,1509.44
43069.87,20.9,21.48,31.48,1508.7
43069.92,20.64,21.49,31.31,1507.97
43069.96,20.32,21.59,31.24,1507.16
43070,20.26,21.82,31.49,1507.25
43070.04,20.38,22.01,31.83,1507.81
43070.08,20.29,22,31.74,1507.53
43070.12,19.94,21.86,31.33,1506.36
43070.17,19.99,21.45,30.83,1506.06
43070.21,20.08,21.09,30.43,1505.92
43070.25,19.76,20.78,29.81,1504.62
43070.29,19.4,20.55,29.28,1503.32
43070.33,19.82,20.34,29.27,1504.29
43070.37,19.88,20.25,29.2,1504.37
43070.42,20.14,20.12,29.19,1504.99
43070.46,20.2,20.1,29.19,1505.13
43070.45903,21.93,24.68,36.47,1515.13
43070.50069,20.41,25.93,36.93,1512.32
43070.54236,20.52,25.86,36.93,1512.57
43070.58403,20.7,25.58,36.71,1512.75
43070.62569,21.14,24.83,36.07,1513.13
43070.66736,21.4,24.21,35.45,1513.16
43070.70903,21.55,23.97,35.24,1513.3
43070.75069,21.52,23.32,34.36,1512.49
43070.79236,21.37,22.49,33.14,1511.15
43070.83403,21.29,22.95,33.69,1511.42
43070.87569,21.2,24.18,35.25,1512.55
43070.91736,20.96,25.18,36.39,1513.03
43070.95903,20.93,24.56,35.56,1512.25
43071.00069,20.96,25.02,36.18,1512.85
43071.04236,20.93,24.8,35.87,1512.52
43071.08403,20.96,24.62,35.66,1512.4
43071.12569,20.7,21.97,31.99,1508.68
43071.16736,20.58,21.52,31.32,1507.83
43071.20903,20.46,21.2,30.82,1507.14
43071.25069,19.88,20.72,29.8,1504.89
43071.29236,19.38,20.62,29.36,1503.31
43071.33403,19.82,21.79,31.16,1505.95
43071.37569,19.99,21.57,31,1506.21
43071.41736,20.46,21.71,31.49,1507.71
43071.45903,20.7,23.42,33.9,1510.31
43071.50069,20.93,24.1,34.96,1511.74
43071.54236,21.2,24.56,35.76,1512.99
43071.58403,21.34,24.55,35.86,1513.38
43071.62569,21.43,24.5,35.86,1513.57
43071.66736,21.4,23.32,34.26,1512.16
43071.70903,21.72,22.64,33.59,1512.29
43071.75069,21.67,22.2,32.95,1511.63
43071.79236,21.69,21.08,31.46,1510.46
43071.83403,21.31,21.85,32.24,1510.27
43071.87569,21.29,22.13,32.6,1510.5
43071.91736,21.29,22.53,33.14,1510.96
43071.95903,21.17,23.02,33.7,1511.17
43072.00069,21.08,23.28,33.98,1511.22
43072.04236,21.11,23.41,34.17,1511.45
43072.08403,21.17,23.37,34.17,1511.57
43072.12569,20.76,21.81,31.82,1508.66
43072.16736,20.64,20.57,30.1,1506.93
43072.20903,20.73,20.47,30.02,1507.07
43072.25069,20.55,19.65,28.81,1505.64
43072.29236,20.32,19.49,28.46,1504.78
43072.33403,20.11,19.43,28.25,1504.11
43072.37569,20.11,19.69,28.61,1504.42
43072.41736,20.49,19.68,28.82,1505.5
43072.45903,20.9,19.7,29.1,1506.7
43072.50069,21.29,21.16,31.3,1509.41
43072.54236,21.49,22.09,32.68,1511.02
43072.58403,21.69,22.45,33.31,1512
43072.62569,21.75,22.42,33.31,1512.12
43072.66736,22.19,21.02,31.71,1511.76
43072.70903,22.25,21.18,31.96,1512.1
43072.75069,22.25,20.44,30.95,1511.28
43072.79236,21.96,19.99,30.15,1509.98
43072.83403,21.9,19.57,29.53,1509.34
43072.87569,21.9,18.97,28.72,1508.68
43072.91736,22.05,19.39,29.38,1509.55
43072.95903,21.99,20.57,30.96,1510.7
43073.00069,21.78,22.07,32.86,1511.81
43073.04236,21.72,22.51,33.41,1512.14
43073.08403,21.67,22.68,33.59,1512.17
43073.12569,21.67,22.61,33.5,1512.09
43073.16736,21.34,21.83,32.24,1510.33
43073.20903,20.99,19.39,28.73,1506.6
43073.25069,20.58,17.92,26.51,1503.77
43073.29236,19.67,16.82,24.54,1499.85
43073.33403,19.08,16.86,24.28,1498.14
43073.37569,18.78,17.02,24.34,1497.43
43073.41736,19.61,18.59,26.85,1501.69
43073.45903,19.67,18.61,26.91,1501.89
43073.50069,20.67,18.11,26.83,1504.24
43073.54236,21.05,19.63,29.1,1507.04
43073.58403,21.17,20.2,29.93,1508
43073.62569,21.26,20.33,30.17,1508.4
43073.66736,21.37,20.21,30.08,1508.6
43073.70903,21.46,20.06,29.93,1508.67
43073.75069,21.55,19.62,29.39,1508.42
43073.79236,21.34,18.91,28.3,1507.05
43073.83403,21.23,18.6,27.81,1506.38
